
Rk,Player,Tm,Age,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
366,Brian Robiskie,2TM,24,6,2,,3,25,8.3,0,14,0.5,4.2,0
367,DeMarco Sampson,ARI,26,12,0,8,3,36,12.0,0,15,0.3,3.0,0
368,Owen Schmitt,PHI,26,16,5,7,3,32,10.7,0,13,0.2,2.0,0
369,Steve Slaton,2TM,25,6,0,4,3,3,1.0,0,6,0.5,0.5,0
370,Alfonso Smith,ARI,24,15,0,5,3,21,7.0,0,13,0.2,1.4,0
371,Devin Thomas,NYG,25,16,0,3,3,37,12.3,0,14,0.2,2.3,0
372,Manase Tonga,OAK,27,11,3,4,3,18,6.0,0,11,0.3,1.6,0
373,Tiquan Underwood,NWE,24,6,0,6,3,30,10.0,0,13,0.5,5.0,0
374,Bryan Walters,SDG,24,4,0,4,3,27,9.0,0,13,0.8,6.8,0
375,Adrian Arrington,NOR,26,4,0,3,2,31,15.5,0,17,0.5,7.8,0
376,David Ausberry,OAK,24,12,0,2,2,14,7.0,0,10,0.2,1.2,0
377,Brock Bolen,JAX,26,13,0,5,2,6,3.0,0,4,0.2,0.5,0
378,Kevin Brock,BUF,25,2,0,2,2,27,13.5,0,21,1.0,13.5,0
379,Stephen Burton,MIN,22,4,0,3,2,38,19.0,0,21,0.5,9.5,0
380,John Conner,NYJ,24,16,8,5,2,9,4.5,0,9,0.1,0.6,0
381,Mike Cox,ATL,26,9,5,3,2,8,4.0,0,8,0.2,0.9,1
382,Jeff Cumberland,NYJ,24,3,0,5,2,35,17.5,0,33,0.7,11.7,0
383,Ryan D'Imperio,MIN,24,12,1,6,2,7,3.5,0,6,0.2,0.6,0
384,Jim Dray,ARI,25,10,0,5,2,25,12.5,0,20,0.2,2.5,0
385,Clyde Gates,MIA,25,13,0,,2,19,9.5,0,11,0.2,1.5,0
386,Daniel Graham,TEN,33,16,7,5,2,25,12.5,1,21,0.1,1.6,0
387,Anthony Hill,IND,26,7,2,3,2,10,5.0,0,5,0.3,1.4,0
388,Taiwan Jones,OAK,23,10,0,3,2,25,12.5,0,30,0.2,2.5,0
389,Ricardo Lockette,SEA,25,2,0,4,2,105,52.5,1,61,1.0,52.5,0
390,Montell Owens*,JAX,27,13,0,3,2,2,1.0,0,6,0.2,0.2,0
391,Niles Paul,WAS,22,13,2,5,2,25,12.5,0,14,0.2,1.9,0
392,Taylor Price,2TM,24,5,0,4,2,39,19.5,0,21,0.4,7.8,0
393,Da'Rel Scott,NYG,23,11,0,2,2,13,6.5,0,9,0.2,1.2,1
394,Cecil Shorts,JAX,24,10,0,12,2,30,15.0,1,25,0.2,3.0,0
395,Stephen Spach,STL,29,10,1,3,2,2,1.0,0,3,0.2,0.2,0
396,Micheal Spurlock,TAM,28,12,0,6,2,13,6.5,0,7,0.2,1.1,0
397,Brett Swain,SFO,26,5,1,7,2,15,7.5,0,9,0.4,3.0,0
398,Phillip Tanner,DAL,23,10,0,2,2,19,9.5,0,11,0.2,1.9,0
399,Chauncey Washington,DAL,26,2,0,3,2,13,6.5,0,15,1.0,6.5,0
400,D.J. Williams,GNB,23,13,0,4,2,13,6.5,0,7,0.2,1.0,0
401,Seyi Ajirotutu,CAR,24,14,0,2,1,4,4.0,0,4,0.1,0.3,0
402,Eugene Amano,TEN,29,16,16,1,1,7,7.0,0,7,0.1,0.4,0
403,Emmanuel Arceneaux,MIN,24,3,0,2,1,10,10.0,0,10,0.3,3.3,0
404,Brandon Banks,WAS,24,16,0,1,1,10,10.0,0,10,0.1,0.6,7
405,Aaron Brown,DET,26,1,0,1,1,9,9.0,0,9,1.0,9.0,0
406,Matt Cassel,KAN,29,9,9,1,1,-4,-4.0,0,-4,0.1,-0.4,5
407,Shaun Chapas,DAL,23,3,0,1,1,9,9.0,0,9,0.3,3.0,0
408,Thomas Clayton,CLE,27,3,0,1,1,3,3.0,0,3,0.3,1.0,0
409,Anthony Dixon,SFO,24,16,0,1,1,6,6.0,0,6,0.1,0.4,0
410,Jonathan Dwyer,PIT,22,7,0,1,1,6,6.0,0,6,0.1,0.9,0
411,Joe Flacco,BAL,26,16,16,1,1,-8,-8.0,0,-8,0.1,-0.5,11
412,Mike Goodson,CAR,24,4,0,3,1,4,4.0,0,4,0.3,1.0,0
413,Richard Gordon,OAK,24,14,1,1,1,2,2.0,0,2,0.1,0.1,0
414,Garrett Graham,HOU,25,7,0,2,1,24,24.0,0,24,0.1,3.4,0
415,Alex Green,GNB,23,4,0,1,1,6,6.0,0,6,0.3,1.5,0
416,DuJuan Harris,JAX,23,5,0,2,1,4,4.0,0,4,0.2,0.8,0
417,Jerome Harrison,DET,28,4,0,2,1,3,3.0,0,3,0.3,0.8,0
