
288,Louis Delmas,DET,25,8,8,,1,0,0,0,2,,,,,,28,10,
289,Quintin Demps,HOU,27,12,0,,0,0,0,0,5,0,0,1,0,0,21,6,
290,Alfonzo Dennard,NWE,23,10,7,,3,95,1,87,7,1,0,0,0,0,34,1,
291,John Denney,MIA,34,16,0,,,,,,,1,0,0,0,0,,,
292,Akeem Dent,ATL,25,16,13,,0,0,0,0,2,,,,,,42,23,
293,Zak DeOssie,NYG,28,16,0,,,,,,,1,0,0,0,0,,,
294,Mike DeVito,NYJ,28,16,15,1.0,,,,,,2,0,0,0,0,27,25,
295,Zach Diles,TEN,27,6,1,,,,,,,,,,,,7,4,
296,Anthony Dixon,SFO,25,16,0,,,,,,,1,0,1,0,0,,,
297,Antonio Dixon,2TM,27,3,0,,,,,,,,,,,,4,2,
298,Marcus Dixon,NYJ,28,3,0,,,,,,,,,,,,0,1,
299,Tim Dobbins,HOU,30,14,6,,1,7,0,7,4,0,0,4,32,0,30,13,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
300,Demarcus Dobbs,SFO,25,12,0,,,,,,,,,,,,3,2,
301,James Dockery,CAR,24,7,2,,0,0,0,0,1,,,,,,13,4,
302,Darnell Dockett,ARI,31,15,14,1.5,0,0,0,0,4,,,,,,23,11,
303,Glenn Dorsey,KAN,27,4,4,,,,,,,,,,,,4,3,
304,Demar Dotson,TAM,27,16,15,,,,,,,0,0,1,0,0,,,
305,Early Doucet,ARI,27,12,3,,,,,,,0,0,1,0,0,,,
306,Reed Doughty,WAS,30,16,10,,1,1,0,1,1,,,,,,44,25,
307,Ras-I Dowling,NWE,24,7,0,,0,0,0,0,1,,,,,,5,2,
308,Shaun Draughn,KAN,25,16,0,,,,,,,1,2,1,0,0,6,0,
309,Joel Dreessen,DEN,30,16,15,,,,,,,,,,,,1,0,
310,Donald Driver,GNB,37,13,1,,,,,,,,,,,,1,0,
311,Elvis Dumervil*,DEN,28,16,16,11.0,0,0,0,0,2,6,0,0,0,0,32,22,1
312,Jo-Lonn Dunbar,STL,27,16,16,4.5,2,63,0,42,4,2,0,0,0,0,88,24,
313,Carlos Dunlap,CIN,23,14,1,6.0,1,14,1,14,3,4,0,3,2,0,34,7,
314,King Dunlap,PHI,27,14,12,,,,,,,0,0,1,0,0,,,
315,Justin Durant,DET,27,16,14,0.5,0,0,0,0,3,,,,,,82,21,
316,Kris Durham,DET,24,4,3,,,,,,,,,,,,1,0,
317,Marcus Easley,BUF,26,3,0,,,,,,,1,0,0,0,0,,,
318,Nick Eason,ARI,32,16,1,1.0,,,,,,,,,,,6,3,
319,Nate Ebner,NWE,24,15,0,,,,,,,,,,,,1,0,
320,Julian Edelman,NWE,26,9,3,,,,,,,1,1,1,22,1,,,
321,Braylon Edwards,2TM,29,13,4,,,,,,,,,,,,1,0,
322,Dwan Edwards,CAR,31,14,14,6.0,0,0,0,0,1,1,0,0,0,0,27,25,
323,Ray Edwards,ATL,27,9,4,,,,,,,0,0,2,26,0,6,3,
324,Ron Edwards,CAR,33,11,11,1.0,,,,,,,,,,,7,7,
325,Pannel Egboh,TEN,26,6,0,,,,,,,,,,,,2,0,
326,Abram Elam,KAN,31,12,7,,0,10,0,10,2,,,,,,29,6,
327,Dannell Ellerbe,BAL,27,13,7,4.5,0,0,0,0,2,1,0,0,0,0,66,23,
328,Kenrick Ellis,NYJ,25,12,2,,,,,,,1,0,0,0,0,11,7,
329,Sedrick Ellis,NOR,27,16,16,,0,0,0,0,1,,,,,,13,23,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
330,Rhett Ellison,MIN,24,16,7,,,,,,,1,0,0,0,0,,,
331,Larry English,SDG,26,14,0,1.5,,,,,,0,0,1,0,0,5,6,
332,Fred Evans,MIN,29,16,1,2.0,0,0,0,0,2,,,,,,15,8,
333,Nick Fairley,DET,24,13,7,5.5,0,0,0,0,1,2,0,1,0,0,27,7,
334,Heath Farwell,SEA,31,16,0,,,,,,,,,,,,10,10,
335,Anthony Fasano,MIA,28,16,16,,,,,,,,,,,,3,0,
336,Jay Feely,ARI,36,16,0,,,,,,,0,1,0,0,0,1,1,
337,Daniel Fells,NWE,29,13,4,,,,,,,,,,,,1,0,
338,Brandon Fields,MIA,28,16,0,,,,,,,0,1,1,-10,0,3,0,
339,Cortland Finnegan,STL,28,16,15,1.0,3,68,1,32,9,1,0,0,0,0,83,18,
340,Larry Fitzgerald*,ARI,29,16,16,,,,,,,,,,,,2,0,
341,Ryan Fitzpatrick,BUF,30,16,16,,,,,,,0,8,2,0,0,2,0,
342,Joe Flacco,BAL,27,16,16,,,,,,,0,9,1,-10,0,,,
343,Coby Fleener,IND,24,12,10,,,,,,,0,0,1,0,0,,,
344,Jamell Fleming,ARI,23,15,3,,,,,,,,,,,,19,3,
345,Bradley Fletcher,STL,26,16,4,1.0,1,2,0,2,8,1,0,0,0,0,17,5,
346,London Fletcher*,WAS,37,16,16,3.0,5,29,0,10,11,1,0,0,0,0,78,61,
347,Drayton Florence,DET,32,8,3,,1,29,0,29,7,,,,,,17,2,
348,Brandon Flowers,KAN,26,15,15,1.0,3,28,0,29,13,0,0,1,64,0,40,8,
349,Malcom Floyd,SDG,31,14,14,,,,,,,,,,,,2,0,
350,Andre Fluellen,2TM,27,5,1,,,,,,,,,,,,1,5,
351,Moise Fokou,IND,27,16,1,1.0,0,0,0,0,2,1,0,0,0,0,27,11,
352,Nick Foles,PHI,23,7,6,,,,,,,0,8,2,-18,0,,,
353,Larry Foote,PIT,32,16,16,4.0,0,0,0,0,2,2,0,2,0,0,75,38,
354,Justin Forsett,HOU,27,16,0,,,,,,,,,,,,1,0,
355,L.J. Fort,CLE,22,16,1,1.0,1,10,0,10,3,,,,,,8,5,
356,Matt Forte,CHI,27,15,15,,,,,,,0,2,1,0,0,,,
357,Arian Foster*,HOU,26,16,16,,,,,,,0,3,1,0,0,,,
358,Mason Foster,TAM,23,16,16,2.0,1,0,0,0,1,0,0,1,4,0,82,23,
359,Eric Frampton,DAL,28,13,2,,0,0,0,0,2,0,0,1,3,0,19,11,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
360,Justin Francis,NWE,23,10,0,3.0,,,,,,,,,,,6,3,
361,Rob Francois,GNB,27,16,0,,,,,,,,,,,,12,1,
362,Aubrayo Franklin,SDG,32,12,9,,,,,,,,,,,,16,4,
363,Dominique Franks,ATL,25,16,0,,0,0,0,0,2,,,,,,11,3,
364,Doug Free,DAL,28,16,16,,,,,,,0,0,1,0,0,,,
365,Jerrell Freeman,IND,26,16,16,2.0,1,4,1,4,2,1,0,0,0,0,90,55,
366,Josh Freeman,TAM,24,16,16,,,,,,,0,10,1,-12,0,,,
367,Dwight Freeney,IND,32,14,14,5.0,0,0,0,0,1,1,0,0,0,0,10,2,
368,Jonathan Freeny,MIA,23,16,0,,,,,,,,,,,,5,2,
369,Sione Fua,CAR,24,13,1,,,,,,,1,0,0,0,0,5,8,
370,Scott Fujita,CLE,33,4,3,1.0,,,,,,,,,,,10,4,
371,Blaine Gabbert,JAX,23,10,10,,,,,,,0,5,1,0,0,,,
372,Andrew Gachkar,SDG,24,16,0,1.0,,,,,,,,,,,19,4,
373,Omar Gaither,OAK,28,7,4,,,,,,,,,,,,9,5,
374,Anthony Gaitor,TAM,24,4,2,,0,0,0,0,5,,,,,,6,1,
375,Junior Galette,NOR,24,12,1,5.0,,,,,,1,0,0,0,0,15,3,
376,Chris Gamble,CAR,29,4,4,,0,0,0,0,2,,,,,,8,7,
377,Antonio Garay,SDG,33,8,0,1.0,,,,,,,,,,,7,9,
378,Pierre Garcon,WAS,26,10,10,,,,,,,0,0,2,0,1,,,
379,Antonio Gates,SDG,32,15,15,,,,,,,0,0,1,0,0,2,0,
380,Clyde Gates,NYJ,26,11,2,,,,,,,,,,,,1,0,
381,William Gay,ARI,27,16,15,1.0,2,7,0,6,6,3,0,1,0,0,45,12,
382,Clifton Geathers,IND,25,8,0,1.0,,,,,,,,,,,3,2,
383,Robert Geathers,CIN,29,16,16,3.0,,,,,,,,,,,12,18,
384,Gary Gibson,TAM,30,16,1,,,,,,,0,0,1,0,0,14,4,
385,Wallace Gilberry,CIN,28,14,0,6.5,,,,,,1,0,3,31,1,15,9,
386,Marcus Gilchrist,SDG,24,16,4,1.0,0,0,0,0,2,,,,,,48,11,
387,Stephon Gilmore,BUF,22,16,16,,1,23,0,23,16,2,0,0,0,0,51,9,
388,Ted Ginn,SFO,27,13,0,,,,,,,0,4,1,0,0,1,0,
389,Matt Giordano,OAK,30,16,13,,2,45,0,24,5,,,,,,39,12,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
390,Tashaun Gipson,CLE,22,10,3,,1,23,0,23,1,,,,,,23,6,
391,Charles Godfrey,CAR,27,15,15,,2,9,1,9,6,0,0,1,0,0,44,25,
392,Robert Golden,PIT,22,15,0,,,,,,,,,,,,5,0,
393,Dashon Goldson*+,SFO,28,16,16,,3,21,0,20,10,1,0,2,71,0,55,14,
394,Kedric Golston,WAS,29,16,0,,,,,,,,,,,,8,8,
395,DeJon Gomes,WAS,23,15,3,,1,49,0,49,4,0,0,1,13,0,26,14,
396,Tony Gonzalez*+,ATL,36,16,16,,,,,,,,,,,,3,0,
397,Tavares Gooden,SFO,28,15,0,,,,,,,,,,,,1,0,
398,Richard Goodman,SDG,25,7,0,,,,,,,,,,,,2,0,
399,Richard Gordon,OAK,25,13,1,,,,,,,0,0,1,0,0,10,0,
400,Josh Gordy,IND,25,15,1,1.0,,,,,,,,,,,16,3,
401,Frank Gore*,SFO,29,16,16,,,,,,,0,3,4,15,1,,,
402,Danny Gorrer,TAM,26,6,1,,1,0,0,0,2,,,,,,11,0,
403,Stephen Gostkowski,NWE,28,16,0,,,,,,,,,,,,1,1,
404,Bruce Gradkowski,CIN,29,3,0,,,,,,,0,1,2,-5,0,,,
405,Brandon Graham,PHI,24,16,6,5.5,0,0,0,0,1,2,0,1,0,0,30,8,
406,Corey Graham,BAL,27,16,8,,2,20,0,20,8,1,0,0,0,0,42,18,
407,Jimmy Graham,NOR,26,15,9,,,,,,,0,1,2,0,0,,,
408,Shayne Graham,HOU,35,16,0,,,,,,,,,,,,2,0,
409,Larry Grant,SFO,27,16,0,,,,,,,,,,,,1,1,
410,A.J. Green*,CIN,24,16,16,,,,,,,0,2,1,0,0,2,0,
411,Jonte Green,DET,23,15,5,1.0,1,18,0,18,4,,,,,,23,6,
412,Marshay Green,IND,26,1,0,,,,,,,,,,,,3,0,
413,Virgil Green,DEN,24,13,2,,,,,,,,,,,,3,0,
414,BenJarvus Green-Ellis,CIN,27,16,15,,,,,,,0,3,1,0,0,,,
415,Shonn Greene,NYJ,27,16,14,,,,,,,0,4,3,0,0,,,
416,Chad Greenway*,MIN,29,16,16,3.0,1,3,0,3,4,0,0,2,0,0,98,50,
417,Cory Greenwood,KAN,27,16,0,,,,,,,1,0,1,0,0,9,1,
418,Jabari Greer,NOR,30,14,13,,3,31,0,28,13,,,,,,36,15,
419,Steve Gregory,NWE,29,12,12,,3,50,0,36,5,2,0,2,30,1,31,6,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
420,Jermaine Gresham*,CIN,24,16,15,,,,,,,0,2,1,0,0,,,
421,Everson Griffen,MIN,25,16,1,8.0,1,29,1,29,2,0,0,2,5,0,20,3,
422,Cedric Griffin,WAS,30,9,2,,0,0,0,0,4,1,0,0,0,0,25,8,
423,Michael Griffin,TEN,27,16,16,1.0,4,59,0,33,4,2,0,0,0,0,60,19,
424,Robert Griffin*,WAS,22,15,15,,,,,,,0,12,4,-16,0,,,
425,Brent Grimes,ATL,29,1,1,,,,,,,,,,,,6,0,
426,Jonathan Grimes,3TM,23,11,2,,,,,,,,,,,,0,1,
427,Chris Gronkowski,DEN,26,14,0,,,,,,,,,,,,3,1,
428,Jordan Gross,CAR,32,16,16,,,,,,,0,0,1,0,0,,,
429,Quentin Groves,ARI,28,16,7,4.0,,,,,,1,0,0,0,0,34,7,
430,Letroy Guion,MIN,25,15,15,2.0,0,0,0,0,1,,,,,,16,15,
431,Lawrence Guy,IND,22,9,2,1.0,,,,,,,,,,,12,6,
432,Gary Guyton,SDG,27,1,1,,,,,,,,,,,,1,0,
433,Joe Haden,CLE,23,11,11,,3,64,0,50,10,1,0,0,0,0,40,11,
434,Rex Hadnot,SDG,30,16,3,,,,,,,0,0,1,0,0,,,
435,Eric Hagg,CLE,23,12,4,,0,0,0,0,1,,,,,,20,2,
436,Mario Haggan,STL,32,11,2,1.0,,,,,,1,0,1,0,0,11,2,
437,Clark Haggans,SFO,35,9,0,,,,,,,,,,,,2,0,
438,Tamba Hali*,KAN,29,15,15,9.0,0,0,0,0,2,1,0,0,0,0,43,8,
439,Bryan Hall,BAL,24,5,0,,,,,,,,,,,,1,2,
440,DeAngelo Hall,WAS,29,16,16,1.0,4,62,0,27,14,0,1,2,0,0,68,27,
441,Leon Hall,CIN,28,14,14,,2,61,1,44,11,,,,,,24,14,
442,Casey Hampton,PIT,35,16,16,,,,,,,,,,,,11,15,
443,James Hanna,DAL,23,16,2,,,,,,,0,0,1,0,0,,,
444,Jason Hanson,DET,42,16,0,,,,,,,,,,,,1,0,
445,Joselio Hanson,OAK,31,16,5,,2,24,0,21,5,1,0,2,1,0,49,12,
446,Montario Hardesty,CLE,25,14,1,,,,,,,0,2,2,0,0,,,
447,Greg Hardy,CAR,24,15,10,11.0,0,0,0,0,2,2,0,1,0,0,41,20,
448,Jamie Harper,TEN,23,10,0,,,,,,,,,,,,2,0,
449,Roman Harper,NOR,30,16,16,,2,41,0,41,11,,,,,,88,27,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
450,Brandon Harris,HOU,22,8,0,,0,0,0,0,3,,,,,,10,4,
451,Chris Harris,DEN,23,15,12,2.5,3,144,2,98,12,0,0,1,0,0,51,10,
452,Chris Harris,JAX,30,5,0,,,,,,,,,,,,1,0,
453,DaJohn Harris,TEN,23,7,0,,,,,,,,,,,,3,1,
454,David Harris,NYJ,28,16,16,3.0,0,0,0,0,3,1,0,1,0,0,79,44,
455,Dwayne Harris,DAL,25,16,0,,,,,,,0,1,0,0,0,3,1,
456,Mike Harris,JAX,23,15,6,1.0,1,0,0,0,6,,,,,,43,4,
457,Nick Harris,DET,34,13,0,,,,,,,,,,,,1,0,
458,Ryan Harris,HOU,27,16,2,,,,,,,0,0,1,0,0,,,
459,James Harrison,PIT,34,13,13,6.0,,,,,,2,0,0,0,0,49,21,
460,Tysyn Hartman,KAN,23,11,2,,0,0,0,0,3,,,,,,17,5,
461,Ben Hartsock,CAR,32,15,5,,,,,,,0,0,1,0,0,,,
462,Mario Harvey,IND,25,13,0,,,,,,,,,,,,3,1,
463,Percy Harvin,MIN,24,9,8,,,,,,,0,2,2,0,0,,,
464,Matt Hasselbeck,TEN,37,8,5,,,,,,,0,3,2,-4,0,1,0,
465,Jason Hatcher,DAL,30,16,16,4.0,0,0,0,0,1,0,0,1,0,1,27,24,
466,Steven Hauschka,SEA,27,16,0,,,,,,,,,,,,2,1,
467,Stanley Havili,PHI,25,15,2,,,,,,,,,,,,6,1,
468,A.J. Hawk,GNB,28,16,16,3.0,,,,,,,,,,,81,39,
469,Andrew Hawkins,CIN,26,14,2,,,,,,,0,1,0,0,0,5,0,
470,David Hawthorne,NOR,27,11,10,,0,0,0,0,1,,,,,,22,16,
471,Kelvin Hayden,CHI,29,16,2,,1,39,0,39,5,0,0,4,15,0,26,11,
472,Geno Hayes,CHI,25,15,3,,0,0,0,0,1,,,,,,12,2,
473,William Hayes,STL,27,16,0,7.0,0,0,0,0,1,0,0,1,0,0,29,6,
474,Adam Hayward,TAM,28,16,5,,0,0,0,0,2,,,,,,18,6,
475,Casey Hayward,GNB,23,16,7,,6,81,0,24,21,1,0,0,0,0,35,13,
476,Kellen Heard,2TM,27,11,0,,,,,,,,,,,,5,1,
477,Johnny Hekker,STL,22,16,0,,,,,,,0,2,2,0,0,,,
478,Will Heller,DET,31,16,5,,,,,,,,,,,,3,0,
479,Roy Helu,WAS,24,3,0,,,,,,,,,,,,1,0,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
480,Devery Henderson,NOR,30,15,9,,,,,,,0,1,0,0,0,2,0,
481,Erin Henderson,MIN,26,14,10,3.0,0,0,0,0,2,1,0,0,0,0,50,29,
482,Alex Henery,PHI,25,16,0,,,,,,,,,,,,1,0,
483,Chad Henne,JAX,27,10,6,,,,,,,0,4,2,-2,0,,,
484,Aaron Hernandez,NWE,23,10,10,,,,,,,0,0,1,0,0,,,
485,Todd Herremans,PHI,30,8,8,,,,,,,0,0,1,0,0,,,
486,Will Herring,NOR,29,16,1,,,,,,,1,0,0,0,0,10,3,
487,Mark Herzlich,NYG,25,16,2,,,,,,,,,,,,22,8,
488,Devin Hester,CHI,30,15,5,,,,,,,0,1,0,0,0,2,0,
489,Cameron Heyward,PIT,23,16,0,1.5,,,,,,,,,,,13,7,
490,Darrius Heyward-Bey,OAK,25,15,14,,,,,,,0,0,1,0,0,,,
491,Justin Hickman,IND,27,12,0,,,,,,,,,,,,7,5,
492,Akiem Hicks,NOR,23,14,0,,0,0,0,0,1,1,0,0,0,0,10,10,
493,Dont'a Hightower,NWE,22,14,13,4.0,0,0,0,0,3,0,0,2,6,1,43,17,
494,LeRoy Hill,SEA,30,14,12,1.5,,,,,,1,0,0,0,0,31,16,
495,Sammie Lee Hill,DET,26,15,3,,0,0,0,0,3,,,,,,9,6,
496,Will Hill,NYG,22,12,0,,0,0,0,0,2,1,0,1,0,0,21,6,
497,Lex Hilliard,2TM,28,14,9,,,,,,,1,0,2,7,0,,,
498,T.Y. Hilton,IND,23,15,1,,,,,,,0,1,0,0,0,1,0,
499,Reggie Hodges,CLE,30,16,0,,,,,,,,,,,,0,1,
500,Doug Hogue,2TM,23,14,0,,,,,,,,,,,,5,1,
501,Vonnie Holliday,ARI,37,16,1,,,,,,,0,0,1,0,0,6,8,
502,Andre Holmes,DAL,24,7,0,,,,,,,,,,,,3,0,
503,Evander Hood,PIT,25,16,16,3.0,0,0,0,0,3,0,0,2,1,0,25,17,
504,Chris Hope,ATL,32,16,4,,,,,,,0,0,1,0,0,18,8,
505,Jayron Hosley,NYG,22,12,6,,1,0,0,0,5,1,0,1,0,0,28,8,
506,Davon House,GNB,23,9,5,1.0,0,0,0,0,5,,,,,,20,6,
507,Rob Housler,ARI,24,15,9,,,,,,,,,,,,3,0,
508,Chris Houston,DET,28,14,14,,2,2,0,2,11,2,0,0,0,0,44,12,
509,Justin Houston*,KAN,23,16,16,10.0,1,32,0,32,5,1,0,1,4,0,53,13,1
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
510,Lamarr Houston,OAK,25,16,16,4.5,0,0,0,0,2,1,0,1,0,0,48,19,
511,Thomas Howard,CIN,29,1,1,1.0,0,0,0,0,1,,,,,,3,0,
512,Brian Hoyer,ARI,27,2,1,,,,,,,0,1,1,0,0,,,
513,Michael Huff,OAK,29,16,16,,2,0,0,0,13,,,,,,37,19,
514,Brandon Hughes,PHI,26,16,0,,0,0,0,0,2,0,0,1,0,0,4,1,
515,Jerry Hughes,IND,24,16,6,4.0,0,0,0,0,1,,,,,,21,11,
516,John Hughes,CLE,24,16,2,3.0,0,0,0,0,1,,,,,,18,16,
517,Robert Hughes,IND,23,5,1,,,,,,,,,,,,2,0,
518,Josh Hull,STL,25,16,1,,,,,,,,,,,,3,0,
519,Ramon Humber,NOR,25,13,0,,,,,,,,,,,,9,2,
520,Phillip Hunt,PHI,26,13,0,1.0,,,,,,,,,,,7,0,
521,Israel Idonije,CHI,32,16,11,7.5,,,,,,1,0,0,0,0,29,19,
522,James Ihedigbo,BAL,29,16,3,1.0,0,0,0,0,1,,,,,,18,7,
523,Richie Incognito*,MIA,29,16,16,,,,,,,0,0,2,0,0,,,
524,Mark Ingram,NOR,23,16,5,,,,,,,0,0,1,1,0,,,
525,Melvin Ingram,SDG,23,16,2,1.0,0,0,0,0,5,1,0,0,0,0,16,13,
526,Bruce Irvin,SEA,25,16,0,8.0,,,,,,1,0,1,35,0,10,7,
527,Corvey Irvin,TAM,27,12,0,,,,,,,,,,,,3,3,
528,Nate Irving,DEN,24,15,0,,0,0,0,0,1,,,,,,9,4,
529,Chris Ivory,NOR,24,6,2,,,,,,,,,,,,1,0,
530,D'Qwell Jackson,CLE,29,16,16,3.5,2,31,1,27,7,2,0,2,0,0,63,55,
531,DeSean Jackson,PHI,26,11,11,,,,,,,0,1,1,0,0,,,
532,Fred Jackson,BUF,31,10,8,,,,,,,0,5,0,0,0,3,0,
533,Kareem Jackson,HOU,24,16,15,,4,71,1,63,16,,,,,,45,6,
534,Lawrence Jackson,DET,27,15,0,2.5,,,,,,1,0,0,0,0,11,9,
535,Malik Jackson,DEN,22,14,0,,,,,,,,,,,,3,2,
536,Rob Jackson,WAS,27,16,14,4.5,4,19,1,17,7,2,0,1,0,0,26,9,
537,Tyson Jackson,KAN,26,15,15,3.0,0,0,0,0,3,,,,,,31,12,
538,Vincent Jackson*,TAM,29,16,16,,,,,,,,,,,,3,0,
539,Bradie James,HOU,31,15,15,0.5,0,0,0,0,2,0,0,2,0,0,46,31,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
540,Robert James,ATL,29,16,0,,,,,,,,,,,,9,2,
541,Tim Jamison,HOU,26,6,0,1.0,0,0,0,0,1,,,,,,2,1,
542,Quentin Jammer,SDG,33,16,16,,3,89,1,80,9,1,0,3,0,1,55,9,
543,Ricky Jean-Francois,SFO,26,16,3,2.0,,,,,,,,,,,12,10,
544,A.J. Jefferson,MIN,24,15,7,,0,0,0,0,5,0,1,1,-2,0,33,3,
545,Cullen Jenkins,PHI,31,16,16,4.0,0,0,0,0,1,1,0,1,0,0,22,4,
546,Janoris Jenkins,STL,24,15,14,,4,150,3,41,14,0,3,1,2,1,64,9,
547,Jarvis Jenkins,WAS,24,16,14,,,,,,,,,,,,11,14,
548,Malcolm Jenkins,NOR,25,13,13,,1,55,1,55,7,0,0,1,0,0,65,29,
549,Mike Jenkins,DAL,27,13,2,,0,0,0,0,3,,,,,,10,4,
550,Greg Jennings,GNB,29,8,5,,,,,,,,,,,,1,0,
551,M.D. Jennings,GNB,24,16,10,,1,72,1,72,2,,,,,,32,13,
552,Tim Jennings*,CHI,29,14,14,,9,105,1,31,21,,,,,,55,5,
553,Jerrel Jernigan,NYG,23,9,0,,,,,,,0,1,0,0,0,2,0,
554,Peria Jerry,ATL,28,14,9,,,,,,,0,0,1,0,0,11,3,
555,Andre Johnson*,HOU,31,16,16,,,,,,,,,,,,2,0,
556,Antonio Johnson,IND,28,14,13,,,,,,,,,,,,19,7,
557,Brandon Johnson,PIT,29,14,0,,,,,,,,,,,,4,6,
558,Calvin Johnson*+,DET,27,16,16,,,,,,,0,3,0,0,0,2,0,
559,Charles Johnson,CAR,26,16,16,12.5,0,0,0,0,4,7,0,1,0,0,30,11,
560,Chris Johnson,BAL,33,5,1,,,,,,,1,0,0,0,0,7,0,
561,D.J. Johnson,WAS,27,7,0,,,,,,,,,,,,2,1,
562,Derrick Johnson*,KAN,30,16,16,2.0,0,0,0,0,4,4,0,0,0,0,110,15,
563,George Johnson,2TM,25,7,0,,,,,,,,,,,,0,5,
564,James-Michael Johnson,CLE,23,11,8,,,,,,,,,,,,18,15,
565,Jarret Johnson,SDG,31,15,14,1.5,,,,,,1,0,0,0,0,27,13,
566,Jeron Johnson,SEA,24,16,0,2.0,,,,,,1,0,0,0,0,7,5,
567,Leonard Johnson,TAM,22,16,6,,3,86,1,83,9,1,1,1,1,0,32,5,
568,Michael Johnson,CIN,25,16,15,11.5,1,3,0,3,2,0,0,1,0,0,35,17,
569,Rashad Johnson,ARI,26,15,3,,2,87,1,53,2,0,0,1,-1,0,11,2,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
570,Robert Johnson,TEN,25,12,3,,1,2,0,2,1,,,,,,13,6,
571,Spencer Johnson,BUF,31,15,0,2.0,0,0,0,0,1,1,0,0,0,0,10,9,
572,Steve Johnson,BUF,26,16,16,,,,,,,1,1,1,0,0,,,
573,Steven Johnson,DEN,24,11,0,,,,,,,1,0,0,0,0,,,
574,Tom Johnson,NOR,28,15,0,2.0,,,,,,,,,,,18,10,
575,Trumaine Johnson,STL,22,16,3,,2,4,0,4,8,,,,,,28,2,
576,Tyrell Johnson,DET,27,4,0,,,,,,,,,,,,2,1,
577,Will Johnson,PIT,23,16,7,,,,,,,0,0,1,0,0,,,
578,Adam Jones,CIN,29,16,5,1.0,0,0,0,0,9,1,0,0,0,0,32,5,
579,Arthur Jones,BAL,26,16,6,4.5,,,,,,1,0,0,0,0,27,20,
580,Brad Jones,GNB,26,16,10,2.0,0,0,0,0,4,1,0,0,0,0,56,21,
