
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
97,Jovan Belcher,KAN,24,16,16,,0,0,0,0,1,,,,,,61,26,
98,Byron Bell,CAR,22,16,12,,,,,,,,,,,,1,0,
99,Jacob Bell,STL,30,12,12,,,,,,,,,,,,1,0,
100,Kahlil Bell,CHI,25,13,3,,,,,,,0,3,0,0,0,2,0,
101,Yeremiah Bell,MIA,33,16,16,2.0,1,20,0,20,4,0,0,1,0,0,81,26,
102,Nick Bellore,NYJ,22,16,0,,,,,,,,,,,,15,4,
103,Marcus Benard,CLE,26,4,0,0.5,,,,,,,,,,,2,1,
104,Arrelious Benn,TAM,23,14,14,,,,,,,,,,,,3,0,
105,Earl Bennett,CHI,24,11,4,,,,,,,0,1,0,0,0,1,0,
106,Martellus Bennett,DAL,24,14,7,,,,,,,,,,,,4,0,
107,Michael Bennett,TAM,26,14,10,4.0,,,,,,1,0,2,0,0,35,4,
108,Cedric Benson,CIN,29,15,15,,,,,,,0,5,2,0,0,1,1,
109,Kevin Bentley,2TM,32,4,0,,,,,,,,,,,,0,2,
110,Rocky Bernard,NYG,32,16,1,,0,0,0,0,2,1,0,1,0,0,15,15,
111,Aaron Berry,DET,23,11,3,,0,0,0,0,12,,,,,,26,5,
112,Davone Bess,MIA,26,16,4,,,,,,,0,5,3,0,0,1,0,
113,Jahvid Best,DET,22,6,6,,,,,,,0,0,1,0,0,,,
114,Antoine Bethea,IND,27,16,16,,0,0,0,0,7,2,0,1,0,0,80,59,
115,Kroy Biermann,ATL,26,16,1,2.5,1,50,1,50,1,,,,,,11,25,
116,Atari Bigby,SEA,30,15,2,1.0,0,0,0,0,2,0,0,1,0,0,12,6,
117,E.J. Biggers,TAM,24,16,6,,1,0,0,0,10,,,,,,52,5,
118,Bront Bird,SDG,22,9,0,,0,0,0,0,1,,,,,,6,3,
119,Matt Birk,BAL,35,16,16,,,,,,,,,,,,3,0,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
120,Rob Bironas,TEN,33,16,0,,,,,,,,,,,,2,0,
121,Desmond Bishop,GNB,27,13,13,5.0,0,0,0,0,2,2,0,0,0,0,90,25,
122,Ahmad Black,TAM,22,4,0,,,,,,,0,0,1,0,0,3,2,
123,Quincy Black,TAM,27,14,12,,1,0,0,0,1,1,0,0,0,0,48,11,
124,Chase Blackburn,NYG,28,5,4,,1,9,0,9,2,,,,,,20,6,
125,Will Blackmon,NYG,27,6,0,,,,,,,0,1,0,0,0,5,1,
126,Darryl Blackstock,OAK,28,16,1,,,,,,,,,,,,15,5,
127,LeGarrette Blount,TAM,25,14,14,,,,,,,0,5,0,0,0,2,0,
128,Leigh Bodden,NWE,30,5,1,,0,0,0,0,4,,,,,,13,4,
129,Anquan Boldin,BAL,31,14,14,,,,,,,0,1,0,0,0,2,0,
130,Brock Bolen,JAX,26,13,0,,,,,,,,,,,,4,3,
131,Michael Boley,NYG,29,14,13,1.0,0,0,0,0,3,1,0,3,78,1,74,19,
132,Kyle Boller,OAK,30,2,1,,,,,,,0,3,2,-6,0,,,
133,Lorenzo Booker,MIN,27,15,0,,,,,,,0,3,0,0,0,2,0,
134,Kevin Boothe,NYG,28,16,9,,,,,,,0,1,1,-8,0,,,
135,Matthew Bosher,ATL,24,16,0,,,,,,,,,,,,5,2,
136,Kevin Boss,OAK,27,14,11,,,,,,,,,,,,2,0,
137,Kyle Bosworth,JAX,25,9,0,,,,,,,,,,,,0,2,
138,Dwayne Bowe,KAN,27,16,14,,,,,,,0,1,2,0,0,1,0,
139,Stephen Bowen,WAS,27,16,16,6.0,0,0,0,0,1,0,0,1,-1,0,21,20,
140,Da'Quan Bowers,TAM,21,16,6,1.5,0,0,0,0,4,0,0,1,0,0,22,3,
141,NaVorro Bowman+,SFO,23,16,16,2.0,0,0,0,0,8,0,0,3,0,0,111,32,
142,Zackary Bowman,CHI,27,16,1,,,,,,,1,0,1,0,0,14,1,
143,Jerome Boyd,OAK,25,14,1,,0,0,0,0,3,,,,,,20,5,
144,Ron Brace,NWE,25,7,0,,,,,,,1,0,0,0,0,1,3,
145,Gary Brackett,IND,31,1,1,,1,27,0,27,1,,,,,,5,1,
146,Sam Bradford,STL,24,10,10,,,,,,,0,10,2,-16,0,,,
147,Stewart Bradley,ARI,28,16,1,,0,0,0,0,2,,,,,,21,10,
148,Ahmad Bradshaw,NYG,25,12,9,,,,,,,0,1,0,0,0,4,0,
149,Tom Brady*,NWE,34,16,16,,,,,,,0,6,3,-8,0,,,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
150,Bryan Braman,HOU,24,16,0,0.5,,,,,,0,0,1,0,0,0,3,
151,Alan Branch,SEA,27,15,15,3.0,0,0,0,0,1,,,,,,21,13,
152,Deion Branch,NWE,32,15,15,,,,,,,,,,,,2,0,
153,Tyvon Branch,OAK,25,16,16,1.0,1,0,0,0,4,0,0,1,0,0,78,29,
