
Rk,,Tm,Age,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
322,Joseph Fauria,DET,24,6,0,10,4,57,14.3,0,26,0.7,9.5,0
323,Jonathan Grimes,HOU,25,12,0,5,4,63,15.8,0,31,0.3,5.3,0
324,Ryan Hewitt,CIN,23,12,8,5,4,21,5.3,0,7,0.3,1.8,0
325,Stevan Ridley,NWE,25,6,5,5,4,20,5.0,0,7,0.7,3.3,0
326,Adrien Robinson,NYG,25,12,0,5,4,50,12.5,1,29,0.3,4.2,0
327,Ace Sanders,JAX,23,8,0,5,4,22,5.5,0,10,0.5,2.8,2
328,Luke Stocker,TAM,26,9,3,5,4,29,7.3,0,11,0.4,3.2,0
329,Adam Thielen,MIN,24,12,2,9,4,57,14.3,0,17,0.3,4.8,0
Rk,,Tm,Age,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
330,Corey Washington,NYG,23,11,0,7,4,48,12.0,1,20,0.4,4.4,0
331,Fozzy Whittaker,CAR,25,6,1,5,4,34,8.5,0,23,0.7,5.7,0
332,Brandon Williams,CAR,27,10,0,8,4,44,11.0,0,16,0.4,4.4,0
333,Albert Wilson,KAN,22,8,0,4,4,51,12.8,0,23,0.5,6.4,0
334,Ray Agnew,CLE,23,9,7,9,3,15,5.0,0,12,0.3,1.7,0
335,Jarrett Boykin,GNB,25,9,3,10,3,23,7.7,0,11,0.3,2.6,0
336,James Casey,PHI,30,12,2,3,3,59,19.7,2,26,0.3,4.9,0
337,Orleans Darkwa,2TM,22,7,0,3,3,31,10.3,0,17,0.4,4.4,0
338,Aaron Dobson,NWE,23,4,1,5,3,38,12.7,0,16,0.8,9.5,0
339,Tyler Eifert,CIN,24,1,1,3,3,37,12.3,0,20,3.0,37.0,0
340,MarQueis Gray,2TM,24,9,1,,3,87,29.0,0,41,0.3,9.7,0
341,Virgil Green,DEN,26,9,5,3,3,28,9.3,0,10,0.3,3.1,0
342,Marion Grice,ARI,23,6,0,4,3,24,8.0,0,15,0.5,4.0,0
